id_prueba,timestamp,modo,tipo_evento,escenario,distancia_m,iluminacion,objeto_verdad,objeto_predicho,confianza,t_total_ms,latencia,acierto,notas
2591,2026-01-02T01:13:41.355175,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,upscaled to: 1024x768
2592,2026-01-02T01:13:41.663478,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.3,,,saved temp image at /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334421651.png
2593,2026-01-02T01:13:41.665852,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,"running tesseract (psm=11,oem=1)"
2594,2026-01-02T01:13:42.472905,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.8,,,"L 1 E a… E BeIDAD MÁXIMA"""
2595,2026-01-02T01:13:42.479648,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,cleaned temp file /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334421651.png
2596,2026-01-02T01:13:42.482872,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,,,"L 1 E a… E BeIDAD MÁXIMA"""
2597,2026-01-02T01:13:42.498481,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,00:01.5,,converted output to speech
2598,2026-01-02T01:13:42.860395,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.4,,,starting
2599,2026-01-02T01:13:43.270742,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.4,,,finished (43807 bytes)
2600,2026-01-02T01:13:43.272743,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,starting
2601,2026-01-02T01:13:43.274539,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,43807 bytes
2602,2026-01-02T01:13:43.393803,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.1,,,original size: 1024x768
2603,2026-01-02T01:13:43.425973,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,upscaled to: 1024x768
2604,2026-01-02T01:13:43.766286,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.3,,,saved temp image at /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334423746.png
2605,2026-01-02T01:13:43.771241,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,"running tesseract (psm=11,oem=1)"
2606,2026-01-02T01:13:44.857741,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:01.1,,,"- . — …&ELI—L;CIDAD MÁXIMA —"""
2607,2026-01-02T01:13:44.862421,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,cleaned temp file /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334423746.png
2608,2026-01-02T01:13:44.863759,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,,,"- . — …&ELI—L;CIDAD MÁXIMA —"""
2609,2026-01-02T01:13:44.868499,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,00:02.0,,converted output to speech
2610,2026-01-02T01:13:45.413793,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.5,,,starting
2611,2026-01-02T01:13:45.856775,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.4,,,finished (42710 bytes)
2612,2026-01-02T01:13:45.864486,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,starting
2613,2026-01-02T01:13:45.867981,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,42710 bytes
2614,2026-01-02T01:13:46.014596,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.1,,,original size: 1024x768
2615,2026-01-02T01:13:46.046738,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,upscaled to: 1024x768
2616,2026-01-02T01:13:46.355802,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.3,,,saved temp image at /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334426346.png
2617,2026-01-02T01:13:46.379550,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,"running tesseract (psm=11,oem=1)"
2618,2026-01-02T01:13:46.720060,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.3,,,"= IDAD"""
